x,y,burden,stage
-0.6746229,12.186174,0.0253870678399742,2_malignant
14.242463,14.085472,0.017897852249311313,0_normal
5.435051,19.255684,0.010804953139572603,1_benign_lesion
-4.653125,10.286234,0.023618837299725148,2_malignant
10.343773,12.020454,0.014381158698408192,2_malignant
-2.3314936,11.389529,0.02263982762618149,2_malignant
-2.7615368,15.162723,0.018448361111220463,2_malignant
7.029313,6.2026534,0.006591339860065468,1_benign_lesion
14.219565,8.3300295,0.002753577521137586,0_normal
8.710926,4.313335,0.011839575770372939,2_malignant
9.832185,10.612509,0.014531549501830197,0_normal
14.00055,6.7413845,0.0020309907648006433,0_normal
12.298518,6.075485,0.000759269037387356,1_benign_lesion
12.3345995,6.768779,0.008620929964013518,0_normal
-5.205979,10.091357,0.023953544015456643,2_malignant
11.537193,6.2498045,0.00681232619470213,0_normal
8.671711,3.0553117,0.008208572404489314,2_malignant
13.556985,4.4137006,0.002189905139913188,0_normal
5.582016,16.024002,0.010414150545282802,1_benign_lesion
12.675092,4.578833,0.004933654880257849,0_normal
9.704934,4.258088,0.0018391530678405217,0_normal
9.773716,4.101104,0.011237900442381755,0_normal
-4.0002103,7.8864865,0.019591624596114673,2_malignant
1.372928,-0.6687233,0.021495799751363908,2_malignant
10.859803,7.5646315,0.006451327396512271,0_normal
9.734488,1.6719264,0.009028934735442624,0_normal
9.683746,1.3481934,0.009823998870916503,0_normal
-3.958728,11.949614,0.02914214955583155,2_malignant
-3.0533247,1.2620819,0.02523614408417891,2_malignant
8.580958,11.525095,0.012125993160862653,2_malignant
11.44723,6.962426,0.007204712156574544,0_normal
-2.7316122,8.91414,0.022884058825808427,2_malignant
9.934363,0.70693195,0.0021601991777548514,1_benign_lesion
-3.7164562,6.8521543,0.01862406381252565,2_malignant
7.1403465,5.4835167,0.004651681818281904,1_benign_lesion
7.297323,18.150507,0.00457907665217253,0_normal
8.600089,4.4549975,0.018912958479399646,0_normal
11.222809,2.318489,0.0032764984521120163,0_normal
-3.866295,8.921242,0.019854030642986936,2_malignant
10.968433,6.7143044,0.019105501442836854,0_normal
5.9173326,3.708545,0.024837546246816663,0_normal
9.907392,5.269067,0.010162057021121806,0_normal
12.240796,4.674903,0.0012282999352637195,0_normal
-2.9601352,13.362323,0.025735940825606315,2_malignant
11.741833,7.1776633,0.013815206892981555,0_normal
9.000091,9.568162,0.004399230552224837,0_normal
12.581947,8.938264,0.007759326978174093,0_normal
11.662647,3.3293276,0.006906660919233447,0_normal
12.583986,7.9281144,0.0048908758901613425,1_benign_lesion
-5.437512,11.223411,0.030294721837224474,2_malignant
9.275868,4.7392635,0.005896399842020775,0_normal
1.6740385,-3.7733464,0.017965785730134957,2_malignant
12.943818,1.7145083,0.007494860611098653,0_normal
8.152553,6.7586184,0.010453110499284646,2_malignant
11.991802,0.26754385,0.010211043794682658,1_benign_lesion
10.547977,8.26227,0.00728326431371921,0_normal
4.5214696,17.625914,0.011818379163748961,1_benign_lesion
8.408661,5.9699,0.019900707756344276,0_normal
12.590809,6.797654,0.004759846378330002,0_normal
9.29947,5.581864,0.007869256352491465,0_normal
-3.552115,8.474448,0.019925166380940502,2_malignant
9.163082,6.546635,0.005352335628030841,1_benign_lesion
8.748742,5.722745,0.007284003411456688,0_normal
10.452112,4.1334996,0.008278737213921103,0_normal
-3.055622,1.4197471,0.022920839557722568,2_malignant
11.06847,3.5835366,0.010274413181435325,0_normal
8.771808,4.9238086,0.01966353358663555,0_normal
13.67219,4.510857,0.004689308037955667,0_normal
8.8913555,4.632044,0.0057842230798353,0_normal
6.929523,5.284527,0.010679379623672046,1_benign_lesion
3.2221138,-1.5260842,0.011253710885326588,2_malignant
-3.1309662,8.128623,0.021966801178602204,2_malignant
