state,gene,n_cells,mean_expr,frac_pos,gene_state
Plasma,MRC1,529,0.017615679651498795,0.026465028355387523,Macrophage
Plasma,C1QA,529,0.035657159984111786,0.035916824196597356,Macrophage
Plasma,LYZ,529,0.2054133266210556,0.18147448015122875,Mono
Plasma,S100A8,529,0.16949157416820526,0.12098298676748583,Mono
Plasma,FCN1,529,0.056349847465753555,0.03780718336483932,Mono
Plasma,VCAN,529,0.03646655008196831,0.052930056710775046,Mono
Plasma,LILRA4,529,0.0024542799219489098,0.001890359168241966,pDC
Plasma,CLEC4C,529,0.0014758137986063957,0.001890359168241966,pDC
Plasma,IRF7,529,0.3030705451965332,0.3818525519848771,pDC
Plasma,TPSAB1,529,0.0,0.0,Mast
Plasma,CPA3,529,0.0003946457291021943,0.001890359168241966,Mast
Plasma,KIT,529,0.002123710000887513,0.005671077504725898,Mast
Macrophage,CD3D,13455,0.05554275959730148,0.04749163879598662,CD4T
Macrophage,CD3E,13455,0.05672483518719673,0.05321441843180973,CD4T
Macrophage,IL7R,13455,0.5064314007759094,0.3005574136008919,CD4T
Macrophage,CCR7,13455,0.2063034176826477,0.11698253437383872,CD4T
Macrophage,CD8A,13455,0.021253863349556923,0.020141211445559273,CD8T
Macrophage,CD8B,13455,0.011254910379648209,0.01174284652545522,CD8T
Macrophage,GZMK,13455,0.03552127629518509,0.030397621701969527,CD8T
Macrophage,FOXP3,13455,0.0009802276035770774,0.0017094017094017094,Treg
Macrophage,IL2RA,13455,0.3062240481376648,0.23730955035302861,Treg
Macrophage,CTLA4,13455,0.009525934234261513,0.013006317354143442,Treg
Macrophage,IKZF2,13455,0.024666549637913704,0.03470828688219993,Treg
Macrophage,NKG7,13455,0.3742312788963318,0.26711259754738015,NK
Macrophage,GNLY,13455,1.036300778388977,0.4848755109624675,NK
Macrophage,KLRD1,13455,0.05859437584877014,0.05016722408026756,NK
Macrophage,NCAM1,13455,0.01976935938000679,0.02058714232627276,NK
Macrophage,MS4A1,13455,0.007403029128909111,0.0069119286510590855,B
Macrophage,CD79A,13455,0.01819157972931862,0.018208844295800816,B
Macrophage,CD19,13455,0.004376902244985104,0.008249721293199555,B
Macrophage,MZB1,13455,0.00977522972971201,0.011891490152359718,Plasma
Macrophage,JCHAIN,13455,0.011448235251009464,0.012709030100334449,Plasma
Macrophage,XBP1,13455,0.5710238218307495,0.5534002229654403,Plasma
Macrophage,CD68,13455,1.5363831520080566,0.7926421404682275,Macrophage
Macrophage,CD163,13455,0.9068453907966614,0.47045707915273133,Macrophage
Macrophage,MRC1,13455,0.7990936040878296,0.44890375325157933,Macrophage
Macrophage,C1QA,13455,1.891977071762085,0.6620587142326273,Macrophage
Macrophage,LYZ,13455,2.1442766189575195,0.7846897064288368,Mono
Macrophage,S100A8,13455,0.6523388028144836,0.348197696023783,Mono
Macrophage,FCN1,13455,0.41115495562553406,0.22608695652173913,Mono
Macrophage,VCAN,13455,0.3758135139942169,0.24949832775919734,Mono
Macrophage,LILRA4,13455,0.007083473727107048,0.011594202898550725,pDC
Macrophage,CLEC4C,13455,0.003177749691531062,0.00587142326272761,pDC
Macrophage,IRF7,13455,0.25229719281196594,0.31073950204384987,pDC
Macrophage,TPSAB1,13455,0.004257786553353071,0.005425492382014121,Mast
Macrophage,CPA3,13455,0.0018994081765413284,0.0017094017094017094,Mast
Macrophage,KIT,13455,0.013465328142046928,0.02021553325901152,Mast
Mono,CD3D,13649,0.08741369843482971,0.05648765477324346,CD4T
Mono,CD3E,13649,0.0647914782166481,0.050260092314455274,CD4T
Mono,IL7R,13649,0.38746100664138794,0.20287200527511173,CD4T
Mono,CCR7,13649,0.0806669220328331,0.05179866656897941,CD4T
Mono,CD8A,13649,0.028232688084244728,0.021686570444721224,CD8T
Mono,CD8B,13649,0.015108861960470676,0.012235328595501502,CD8T
Mono,GZMK,13649,0.04211098328232765,0.028280460106967543,CD8T
Mono,FOXP3,13649,0.0015507875941693783,0.001245512491757638,Treg
Mono,IL2RA,13649,0.13223405182361603,0.09018975749139131,Treg
Mono,CTLA4,13649,0.00489414855837822,0.004615722763572423,Treg
Mono,IKZF2,13649,0.010468702763319016,0.009597772730602975,Treg
Mono,NKG7,13649,0.3789445161819458,0.23159205802622904,NK
Mono,GNLY,13649,1.4733465909957886,0.567733899919408,NK
Mono,KLRD1,13649,0.07751522958278656,0.05392336434903656,NK
Mono,NCAM1,13649,0.021899046376347542,0.017876767528756686,NK
Mono,MS4A1,13649,0.014437034726142883,0.010916550663052239,B
Mono,CD79A,13649,0.02253725752234459,0.01487288446040003,B
Mono,CD19,13649,0.004029567819088697,0.004102864678731042,B
Mono,MZB1,13649,0.01075068861246109,0.010037365374752728,Plasma
Mono,JCHAIN,13649,0.015635492280125618,0.012528390358268004,Plasma
Mono,XBP1,13649,0.548528790473938,0.42933548245292696,Plasma
Mono,CD68,13649,1.207720398902893,0.6823210491611107,Macrophage
Mono,CD163,13649,0.4613490402698517,0.33291816250274747,Macrophage
Mono,MRC1,13649,0.19210191071033478,0.12008205729357461,Macrophage
Mono,C1QA,13649,0.09870963543653488,0.06476664957139718,Macrophage
Mono,LYZ,13649,2.884552240371704,0.7598358854128507,Mono
Mono,S100A8,13649,2.5943567752838135,0.7654773243461059,Mono
Mono,FCN1,13649,1.5740574598312378,0.604146823943146,Mono
Mono,VCAN,13649,1.9307866096496582,0.7092094658949374,Mono
Mono,LILRA4,13649,0.007411113940179348,0.007766136713312331,pDC
Mono,CLEC4C,13649,0.0010079859057441354,0.0010257161696827605,pDC
Mono,IRF7,13649,0.3112133741378784,0.2783354091874863,pDC
Mono,TPSAB1,13649,0.0015881640138104558,0.0017583705765990183,Mast
Mono,CPA3,13649,0.0011095241643488407,0.0010257161696827605,Mast
Mono,KIT,13649,0.0021807029843330383,0.0019049014579822698,Mast
pDC,CD3D,752,0.07004886865615845,0.047872340425531915,CD4T
pDC,CD3E,752,0.1190289631485939,0.11037234042553191,CD4T
pDC,IL7R,752,0.2616859972476959,0.14893617021276595,CD4T
pDC,CCR7,752,0.3750278055667877,0.2752659574468085,CD4T
pDC,CD8A,752,0.04182390868663788,0.03856382978723404,CD8T
pDC,CD8B,752,0.024272065609693527,0.02127659574468085,CD8T
pDC,GZMK,752,0.03481108695268631,0.02526595744680851,CD8T
pDC,FOXP3,752,0.0025386414490640163,0.005319148936170213,Treg
pDC,IL2RA,752,0.11507001519203186,0.07313829787234043,Treg
pDC,CTLA4,752,0.004578868858516216,0.0026595744680851063,Treg
pDC,IKZF2,752,0.1885681003332138,0.16090425531914893,Treg
pDC,NKG7,752,0.7457299828529358,0.45345744680851063,NK
pDC,GNLY,752,1.1545801162719727,0.5146276595744681,NK
pDC,KLRD1,752,0.053251780569553375,0.043882978723404256,NK
pDC,NCAM1,752,0.02198101580142975,0.0199468085106383,NK
pDC,MS4A1,752,0.016318386420607567,0.011968085106382979,B
pDC,CD79A,752,0.08160750567913055,0.08377659574468085,B
pDC,CD19,752,0.001587966806255281,0.0026595744680851063,B
pDC,MZB1,752,1.2616674900054932,0.7074468085106383,Plasma
pDC,JCHAIN,752,2.265346050262451,0.8523936170212766,Plasma
pDC,XBP1,752,1.0054006576538086,0.6795212765957447,Plasma
pDC,CD68,752,0.9773313403129578,0.6702127659574468,Macrophage
pDC,CD163,752,0.02121112123131752,0.023936170212765957,Macrophage
pDC,MRC1,752,0.22571276128292084,0.14361702127659576,Macrophage
pDC,C1QA,752,0.028785528615117073,0.02925531914893617,Macrophage
pDC,LYZ,752,0.21188651025295258,0.13031914893617022,Mono
pDC,S100A8,752,0.15703648328781128,0.1077127659574468,Mono
pDC,FCN1,752,0.024131037294864655,0.018617021276595744,Mono
pDC,VCAN,752,0.06447026878595352,0.0625,Mono
pDC,LILRA4,752,1.462752103805542,0.7579787234042553,pDC
pDC,CLEC4C,752,0.7855564951896667,0.5412234042553191,pDC
pDC,IRF7,752,2.075286626815796,0.8470744680851063,pDC
pDC,TPSAB1,752,0.0,0.0,Mast
pDC,CPA3,752,0.0,0.0,Mast
pDC,KIT,752,0.0069154067896306515,0.007978723404255319,Mast
Mast,CD3D,1292,0.07634566724300385,0.04721362229102167,CD4T
Mast,CD3E,1292,0.061951201409101486,0.04179566563467492,CD4T
Mast,IL7R,1292,0.087459497153759,0.04489164086687306,CD4T
Mast,CCR7,1292,0.05803251639008522,0.03637770897832817,CD4T
Mast,CD8A,1292,0.026078185066580772,0.017027863777089782,CD8T
Mast,CD8B,1292,0.018576834350824356,0.01238390092879257,CD8T
Mast,GZMK,1292,0.044260840862989426,0.02631578947368421,CD8T
Mast,FOXP3,1292,0.0,0.0,Treg
Mast,IL2RA,1292,0.06719578802585602,0.04179566563467492,Treg
Mast,CTLA4,1292,0.002829968463629484,0.0030959752321981426,Treg
Mast,IKZF2,1292,0.09907076507806778,0.06037151702786378,Treg
Mast,NKG7,1292,0.28652071952819824,0.16408668730650156,NK
Mast,GNLY,1292,0.9473206400871277,0.36919504643962847,NK
Mast,KLRD1,1292,0.05431392043828964,0.032507739938080496,NK
Mast,NCAM1,1292,0.016987070441246033,0.014705882352941176,NK
Mast,MS4A1,1292,0.018779058009386063,0.010061919504643963,B
Mast,CD79A,1292,0.02074243500828743,0.011609907120743035,B
Mast,CD19,1292,0.0018871345091611147,0.0023219814241486067,B
Mast,MZB1,1292,0.010060755535960197,0.00696594427244582,Plasma
Mast,JCHAIN,1292,0.013335672207176685,0.008513931888544891,Plasma
Mast,XBP1,1292,0.6544924974441528,0.42027863777089786,Plasma
Mast,CD68,1292,0.401239812374115,0.31811145510835914,Macrophage
Mast,CD163,1292,0.008019965142011642,0.006191950464396285,Macrophage
Mast,MRC1,1292,0.012653610669076443,0.007739938080495356,Macrophage
Mast,C1QA,1292,0.015780167654156685,0.01393188854489164,Macrophage
Mast,LYZ,1292,0.1621304601430893,0.09210526315789473,Mono
Mast,S100A8,1292,0.11954056471586227,0.058823529411764705,Mono
Mast,FCN1,1292,0.007702126167714596,0.0046439628482972135,Mono
Mast,VCAN,1292,0.07335297763347626,0.04643962848297214,Mono
Mast,LILRA4,1292,0.0,0.0,pDC
Mast,CLEC4C,1292,0.0011735361767932773,0.0007739938080495357,pDC
Mast,IRF7,1292,0.14825430512428284,0.11068111455108359,pDC
Mast,TPSAB1,1292,3.0557572841644287,0.6811145510835913,Mast
Mast,CPA3,1292,2.600823163986206,0.7329721362229102,Mast
Mast,KIT,1292,1.1759724617004395,0.5719814241486069,Mast
